id,role,skills,location,years_experience,languages
C15,"ingeniero de mantenimiento","mantenimiento preventivo;mantenimiento correctivo;mantenimiento predictivo;hidráulica;neumática;mecánica industrial;electricidad industrial;automatización;PLC;confiabilidad;gestión de activos;gestión de repuestos;SAP PM","Medellín",8,"inglés"
C16,"técnico de mantenimiento","mantenimiento preventivo;mantenimiento correctivo;hidráulica;neumática;mecánica industrial;electricidad industrial","Cartagena",3,""
C17,"ingeniero de mantenimiento","mantenimiento predictivo;confiabilidad;análisis de fallas;gestión de activos;gestión de repuestos","Cartagena",5,""
C18,"ingeniero de mantenimiento","mantenimiento preventivo;mantenimiento correctivo;automatización;PLC;gestión de activos;SAP PM","Cartagena",3,"inglés"
C19,"ingeniero de mantenimiento","mantenimiento preventivo;mecánica industrial;electricidad industrial;hidráulica;neumática;gestión de repuestos","Barranquilla",2,""
C20,"ingeniero de mantenimiento","mantenimiento correctivo;mantenimiento predictivo;confiabilidad;gestión de activos;análisis de fallas","Cartagena",4,"inglés"
<<<<<<< HEAD
=======
C21,"analista de talento humano","reclutamiento;entrevistas por competencias;onboarding;pruebas psicotécnicas","Cartagena",3,""
C22,"coordinador de talento humano","clima organizacional;gestión del desempeño;planes de formación","Bogotá",6,"inglés"
C23,"analista de datos","python;sql;tableau;estadística","Bogotá",3,"inglés"
C24,"científico de datos","python;machine learning;nlp;sql","Medellín",4,"inglés"
C25,"analista BI","power bi;dax;modelado de datos;sql","Cali",2,""
C26,"desarrollador backend","python;django;rest api;postgresql","Remoto",3,"inglés"
C27,"desarrollador frontend","javascript;react;html;css","Bogotá",2,"inglés"
C28,"desarrollador full stack","javascript;react;node.js;sql","Medellín",4,"inglés"
C29,"ingeniero de automatización","PLC;SCADA;instrumentación;siemens TIA Portal","Barranquilla",5,"inglés"
C30,"técnico electricista","electricidad industrial;tableros eléctricos;variadores de velocidad","Cartagena",6,""
C31,"analista de soporte TI","soporte a usuarios;redes;windows;office 365","Cartagena",2,""
C32,"ingeniero de sistemas","arquitectura de software;microservicios;docker;kubernetes","Bogotá",5,"inglés"
C33,"ingeniero de redes","routing;switching;firewalls;seguridad perimetral","Bogotá",4,"inglés"
C34,"analista de ciberseguridad","siem;gestión de incidentes;hardening;norma ISO 27001","Medellín",3,"inglés"
C35,"diseñador UX/UI","figma;diseño de interfaces;research de usuarios;prototipado","Remoto",3,"inglés"
C36,"product owner","gestión de backlog;historias de usuario;scrum;stakeholders","Cali",5,"inglés"
C37,"scrum master","scrum;kanban;facilitación de equipos;mejora continua","Bogotá",4,"inglés"
C38,"analista de logística","planeación de rutas;inventarios;WMS;excel avanzado","Barranquilla",3,""
C39,"coordinador de logística","gestión de transporte;negociación con proveedores;KPI logísticos","Cartagena",6,"inglés"
C40,"analista financiero","modelación financiera;excel avanzado;presupuestos;power bi","Bogotá",3,"inglés"
C41,"contadora","NIIF;impuestos;conciliaciones;nomina","Cartagena",7,""
C42,"analista de compras","negociación;proveedores;SAP MM;análisis de costos","Medellín",4,"inglés"
C43,"analista de calidad","ISO 9001;auditorías internas;mejora continua;gestión documental","Cali",3,""
C44,"ingeniero de calidad","herramientas estadísticas;SPC;análisis de causa raíz;FMEA","Bogotá",5,"inglés"
C45,"ingeniero de procesos","lean manufacturing;mapeo de procesos;KPI;mejora continua","Barranquilla",4,"inglés"
C46,"analista de marketing digital","google ads;facebook ads;seo;analytics","Cartagena",3,"inglés"
C47,"community manager","gestión de redes sociales;creación de contenido;metricas;copywriting","Bogotá",2,""
C48,"analista de servicio al cliente","atención al cliente;crm;gestión de PQRS;ventas cruzadas","Medellín",3,""
C49,"ingeniero de seguridad y salud en el trabajo","SG-SST;investigación de incidentes;capacitaciones;inspecciones","Cali",5,""
C50,"analista de proyectos","gestión de proyectos;PMI;cronogramas;seguimiento de hitos","Bogotá",4,"inglés"
>>>>>>> ade873c (Flexibilidad agente)
